date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:24:02	89284/89284	---MCZ	200	added ('OK')	application/javascript	etag:W/%22bdfc97565c1e696544a744303d77d7c9%22	https://amaninfo/_next/static/chunks/main-627138c22ebf06ea.js	D:/AMAN_LOGIMETRIX/Personal%20Doc/portAman/amaninfo/_next/static/chunks/main-627138c22ebf06ea.js	(from https://amaninfo/?storefront=envato-elements)
17:24:02	2889/2889	---MCZ	200	added ('OK')	application/javascript	etag:W/%224df19889d92e3009c90473f1a9de6cab%22	https://amaninfo/_next/static/chunks/pages/_app-939fc81c9b33b38b.js	D:/AMAN_LOGIMETRIX/Personal%20Doc/portAman/amaninfo/_next/static/chunks/pages/_app-939fc81c9b33b38b.js	(from https://amaninfo/?storefront=envato-elements)
17:24:02	89858/89858	---MCZ	200	added ('OK')	application/javascript	etag:W/%223eaa3e22c003ea71a782730e43daa5dc%22	https://amaninfo/_next/static/chunks/b637e9a5-72306854ad8c548c.js	D:/AMAN_LOGIMETRIX/Personal%20Doc/portAman/amaninfo/_next/static/chunks/b637e9a5-72306854ad8c548c.js	(from https://amaninfo/?storefront=envato-elements)
17:24:03	154128/154128	---MCZ	200	added ('OK')	application/javascript	etag:W/%227ae8bb586a44d6d31e9c4f044dc11380%22	https://amaninfo/_next/static/chunks/574-3e6def5898b0fc8d.js	D:/AMAN_LOGIMETRIX/Personal%20Doc/portAman/amaninfo/_next/static/chunks/574-3e6def5898b0fc8d.js	(from https://amaninfo/?storefront=envato-elements)
17:24:03	34186/34186	---MCZ	200	added ('OK')	application/javascript	etag:W/%2231b4a0748c288548db103ba3349ac13a%22	https://amaninfo/_next/static/chunks/pages/index-0d363d5b6d321cf0.js	D:/AMAN_LOGIMETRIX/Personal%20Doc/portAman/amaninfo/_next/static/chunks/pages/index-0d363d5b6d321cf0.js	(from https://amaninfo/?storefront=envato-elements)
17:24:03	447/447	---M--	200	added ('OK')	application/javascript	etag:%2248806adada35571e073d4740bbf8ed7f%22	https://amaninfo/_next/static/RG84QNVIK3BfReEx2Rz2-/_buildManifest.js	D:/AMAN_LOGIMETRIX/Personal%20Doc/portAman/amaninfo/_next/static/RG84QNVIK3BfReEx2Rz2-/_buildManifest.js	(from https://amaninfo/?storefront=envato-elements)
17:24:04	77/77	---M--	200	added ('OK')	application/javascript	etag:%22b6652df95db52feb4daf4eca35380933%22	https://amaninfo/_next/static/RG84QNVIK3BfReEx2Rz2-/_ssgManifest.js	D:/AMAN_LOGIMETRIX/Personal%20Doc/portAman/amaninfo/_next/static/RG84QNVIK3BfReEx2Rz2-/_ssgManifest.js	(from https://amaninfo/?storefront=envato-elements)
17:24:04	1451/1451	---M--	200	added ('OK')	image/png	etag:%22df04c3aca8efc263cb1dfec1802a048d%22	https://amaninfo/assets/styleswitcher/yellow.png	D:/AMAN_LOGIMETRIX/Personal%20Doc/portAman/amaninfo/assets/styleswitcher/yellow.png	(from https://amaninfo/?storefront=envato-elements)
17:24:05	1463/1463	---M--	200	added ('OK')	image/png	etag:%2260b0a4c13331f471d6d2d45ea367bfba%22	https://amaninfo/assets/styleswitcher/green.png	D:/AMAN_LOGIMETRIX/Personal%20Doc/portAman/amaninfo/assets/styleswitcher/green.png	(from https://amaninfo/?storefront=envato-elements)
17:24:05	1459/1459	---M--	200	added ('OK')	image/png	etag:%2201b0fe811e4873c2fdbe20e49c5bcc95%22	https://amaninfo/assets/styleswitcher/red.png	D:/AMAN_LOGIMETRIX/Personal%20Doc/portAman/amaninfo/assets/styleswitcher/red.png	(from https://amaninfo/?storefront=envato-elements)
